Id,QuaternaryFaultDensity,HorizGravityGradient2,GeodeticStrainRate,QuaternarySlipRate,FaultRecency,FaultSlipDilationTendency,Earthquakes,HorizMagneticGradient2,Heatflow,DEM-30m,X_83UTM11,Y_83UTM11,TrainCodeNeg,TrainCodePos,TrainCodePosT130,TrainCodePosT37,NAME,MAX_MAXT,Blind,POWER,E_utm83,N_utm83,Depth(m)
6,1.285103188,-1.179980861,1.327701065,-0.875584733,-1.595636883,0.116587859,0.187494727,1.161904343,0.76507149,-0.387378538,325827.6902,4261213.766,12,1,12,1,Grant View Hot Springs,53,no,0,325910.7938,4261123.388,
78,0.200934499,3.224229742,0.042697528,0.92511607,-0.450001742,-0.557710888,0.779572293,-0.095253034,-1.670693068,-0.949648313,626327.6902,4262713.766,12,1,1,12,Bacon Flat,130,yes,0,626240.6513,4262689.377,
27,0.530641822,0.346867801,1.670389731,2.105044674,0.760398902,-0.140574244,2.492250611,1.213427187,0.415871857,-1.1095599,356327.6902,4263213.766,12,1,12,1,Hawthorne 1,97,yes,0,356239.0985,4263285.061,
82,2.520682968,-0.845161963,-0.276014367,-0.920537606,-1.17828097,-0.632902124,1.053703876,-0.58987233,-1.448915834,-0.250679923,555077.6902,4263713.766,12,1,1,12,Hot Creek Ranch Hot Spr,160,no,0,555117.5865,4263714.281,
31,0.328629102,3.224229742,0.004235585,0.698215148,-0.420560434,-0.177550345,0.706008662,-0.89900939,-1.639976469,-0.923856121,628327.6902,4269213.766,12,1,12,1,Blue Eagle Springs,41,no,0,628207.44,4269285.723,
44,1.604205267,0.190503395,-0.041953597,-1.225560731,2.154757781,0.889341045,0.043048028,-0.723831722,-1.093107163,-0.521497934,662077.6902,4273463.766,12,1,12,1,Moorman,45,no,0,662047.7425,4273411.623,
80,1.531720299,1.955462619,-0.823365076,-0.341614981,-0.997034169,0.197194646,0.933088069,-0.445608369,-1.93686918,0.476659878,549077.6902,4283213.766,12,1,12,1,Spring & Test hole Uce 10,42,no,0,548954.1072,4283112.711,
46,1.520473772,0.205850866,1.682732803,-0.234146355,0.539857237,-1.253755369,2.273213592,-0.476522075,-0.539005795,-0.851637985,293327.6902,4292213.766,12,1,12,1,Wellington Well,83,yes,0,293375.1423,4292145.482,
24,0.60871072,-0.560495264,1.401143426,0.161974365,-0.941493212,0.211144215,0.648703533,-0.095253034,-0.003406736,-0.583399193,311077.6902,4293213.766,12,1,12,1,Wilson Hot Spring,94,no,0,311050.7635,4293211.059,
47,0.245788061,2.162749808,-0.321437542,0.210772407,-0.372936605,-1.583477502,0.118718128,1.41951856,0.202171648,-0.28936821,484327.6902,4296463.766,12,1,1,12,Darroughs Hot Springs,145,no,0.5,484243.2933,4296516.322,
